,Unnamed: 0,debias_point,debias_var,dim,dim_var,undebias_point,undebias_var,J,Q,K,M,epochs,n_folds,uplift_factor,truth,truth_stderr
0,0,0.0273737711299124,0.2126733474269214,0.2572547348973715,1.5541171510205964,0.009264813,0.0019303433,500,1000,3,500,500,3,1.0,0.0178671627606442,0.0122335732516287
0,0,0.016404094655172,0.2198199912157531,0.1410090961159371,1.6368591872817495,0.024963394,0.0021063455,500,1000,3,500,500,3,1.0,0.0207660380194575,0.0126850767803291
0,0,0.0368857664077573,0.237294448791667,0.2146743593619713,1.5570942506696392,0.019087719,0.001629969,500,1000,3,500,500,3,1.0,0.014427184807938,0.012187115795129
0,0,-0.0008028978897912,0.2290013849729121,0.108193955238853,1.660886700789389,0.0033004836,0.0018194262,500,1000,3,500,500,3,1.0,0.0158076256415882,0.0122433374787179
0,0,0.0229066115216309,0.2074887026306853,0.1099602365788994,1.6622002572919077,0.021675386,0.0028321284,500,1000,3,500,500,3,1.0,0.0156513742423567,0.0124871636489706
0,0,0.0142156494259881,0.2012756199913947,0.09000621910128,1.6183348882766135,0.014491081,0.0036008805,500,1000,3,500,500,3,1.0,0.0169766015638681,0.0121331371317205
0,0,0.0171624073757146,0.2267141870362072,0.0484482944770131,1.6404425007765764,0.021181464,0.0025633879,500,1000,3,500,500,3,1.0,0.0178120695883019,0.0124214000681845
0,0,-0.0237652879219021,0.2119772770891335,0.119233202117884,1.589801634774218,0.016626349,0.0019316878,500,1000,3,500,500,3,1.0,0.016760104844591,0.012537141142696
0,0,6.93291140528721e-05,0.2092536232102528,0.1568477874354051,1.5918298184107742,-0.0023175941,0.0032314502,500,1000,3,500,500,3,1.0,0.0189657708124113,0.0125366941716762
0,0,0.0168819666374717,0.2194061239060581,0.155467943723841,1.6231618742116314,0.010322824,0.002176301,500,1000,3,500,500,3,1.0,0.0145090783202215,0.012352506377048
0,0,0.0317310661158094,0.2080787118172793,0.2301807926321264,1.5678822796377043,0.02811791,0.0049381643,500,1000,3,500,500,3,1.0,0.0169504587352213,0.0119899404072555
