,Unnamed: 0,debias_point,debias_var,dim,dim_var,undebias_point,undebias_var,J,Q,K,truth,truth_stderr
0,0,0.0471794333967981,4.152946575686692,-0.9162036495601228,124.1842092411899,-0.011147273,0.027962876,500,1000,5,-0.0853282448865327,0.0005407359349417
0,0,0.0049801018957578,3.8825394379438793,-0.6341724469874754,116.5599233786214,0.029610783,0.011255935,500,1000,5,-0.0859986214645876,0.0005623927870429
0,0,-0.0710322267804813,4.374295417712146,-1.3739751163955534,127.91700646949424,-0.07964625,0.017171433,500,1000,5,-0.0851251592096021,0.0004581514017514
0,0,-0.0710322267804813,4.374295417712146,-1.3739751163955534,127.91700646949424,-0.07964625,0.017171433,500,1000,5,-0.0851251592096021,0.0004581514017514
0,0,-0.0710322267804813,4.374295417712146,-1.3739751163955534,127.91700646949424,-0.07964625,0.017171433,500,1000,5,-0.0851251592096021,0.0004581514017514
0,0,-0.0811414049986557,3.800671445888841,-0.8328365344939468,136.69118848454468,-0.016465435,0.03723195,500,1000,5,-0.0858301549243957,0.0004525311481456
0,0,-0.0811414049986557,3.800671445888841,-0.8328365344939468,136.69118848454468,-0.016465435,0.03723195,500,1000,5,-0.0858301549243957,0.0004525311481456
0,0,0.0843168570865554,3.314193141268163,-1.0737892321431537,114.54704883882974,0.008177388,0.01074567,500,1000,5,-0.0853282448865327,0.0005407359349417
0,0,-0.0343494118714921,3.9594929658725655,-0.6354279549030446,147.280395187855,-0.04526512,0.03518702,500,1000,5,-0.0859986214645876,0.0005623927870429
0,0,-0.0343494118714921,3.9594929658725655,-0.6354279549030446,147.280395187855,-0.04526512,0.03518702,500,1000,5,-0.0859986214645876,0.0005623927870429
0,0,-0.0505084386786749,3.706170520634455,-1.173175790325594,114.47570194171922,-0.04339717,0.016123476,500,1000,5,-0.0851251592096021,0.0004581514017514
0,0,-0.098159429327795,5.453031425989963,-1.7349278182572987,120.76042397989043,-0.12228986,0.025635736,500,1000,5,-0.0858301549243957,0.0004525311481456
0,0,-0.1957176570212185,4.4376242912672055,0.0324886023393533,120.13447897010846,-0.11012054,0.044715393,500,1000,5,-0.0853282448865327,0.0005407359349417
0,0,-0.14138995861365,4.937279372367025,-1.3512980056459751,110.42252848263664,-0.09785095,0.024278382,500,1000,5,-0.0859986214645876,0.0005623927870429
0,0,-0.0769070876708376,4.53375356201549,-1.0268909395891863,114.88938650252832,-0.07473219,0.018545726,500,1000,5,-0.0851251592096021,0.0004581514017514
0,0,-0.0314851895292159,4.357921294267444,-0.1734887930051236,134.3451639694575,-0.07346914,0.023846053,500,1000,5,-0.0858301549243957,0.0004525311481456
0,0,-0.0762835006488655,3.9541583065605614,-0.6488750774540182,131.62013115651445,-0.105835654,0.030101625,500,1000,5,-0.0853282448865327,0.0005407359349417
